Ex_static_loss,Ex_dynamic_loss,QF_loss,Best_x,Ex_static_V,Ex_dynamic_V,QF_V,Best_V
0.04025537510416855,0.4919153637476818,0.5674173263483221,1124842.3409886048,0.0015583696008957364,0.7618523638679011,0.2126199770120228,1124842.3409886048
0.21930171933236303,0.01420953515245876,0.6446918028766326,1074295.6779884414,0.06286853512385343,0.00019909179675023218,0.2632417678657778,1074295.6779884414
0.08726778246836811,0.44731160035962264,0.6486065940058451,953735.6109384295,0.008362968371583573,0.4561409429673354,0.2659011367627988,953735.6109384295
0.07027252879982741,0.4262721642799962,0.6368774934990763,1009539.5424271753,0.005319087183316904,0.37945652706546457,0.2579599097436302,1009539.5424271753
0.499798002617597,0.13349353601871128,0.5627261688602857,1051879.3964578693,0.9602047527418048,0.015776666910951608,0.20966610569287236,1051879.3964578693
0.17003364397287354,0.48898781931020285,0.5852731851154115,1086311.1665286785,0.03520785897388853,0.7252122229512998,0.22399152076283918,1086311.1665286785
0.48933518873785464,0.14226546946831406,0.6701176513678783,908569.1418827897,0.729236332465853,0.02376097624096756,0.28066977623644224,908569.1418827897
0.5184580361171757,0.23373284461024768,0.6230651947335333,1009521.139895887,0.18250469877442108,0.044685724617440144,0.24871123995389466,1009521.139895887
0.2797637353139087,0.2915870996077505,0.633927372209946,1040359.8738628444,0.1131104395531572,0.1255848460676822,0.25597510245549754,1040359.8738628444
0.7079506178299464,0.02891284319450007,0.608756092675889,952654.3225845824,0.30726730053025575,0.0008126223672860814,0.23924948011452613,952654.3225845824
0.05995872541177357,0.6479195271972337,0.607464469532949,958642.4461865952,0.0038282495928884264,0.26543376506799327,0.2384014729968225,958642.4461865952
0.3556432867991415,0.004732029570997321,0.598353026363287,1067923.7169224774,0.2140722278582832,2.2286766398229462e-05,0.23244826857447778,1067923.7169224774
0.3812212151633622,0.5036606658501703,0.6343139835540315,1038633.4045951262,0.10730218519711945,0.17372197279277576,0.2562349203042015,1038633.4045951262
0.1842093160380955,0.4566906867578026,0.5746877616695822,1119348.5225266248,0.028830093827475225,0.497997775734458,0.21722578409380025,1119348.5225266248
0.3493253089719674,0.28459114055518514,0.5984025970043059,1053995.8787469168,0.20344340783775336,0.11808359670093645,0.23248051947742152,1053995.8787469168
0.023066345561015892,0.023066345561015892,0.645579406688604,1024383.2797629156,0.0005201265125633409,0.0005201265125633409,0.2638439547097399,1024383.2797629156
0.09133425195785477,0.2538389314267542,0.5893804990312748,1035355.6343605871,0.009203739442862898,0.08900871934348116,0.22663566328250345,1035355.6343605871
0.24442913121341955,0.017707206532914386,0.6403040919603286,934399.5794282884,0.0812581932617218,0.0003081130747656609,0.26027165702789556,934399.5794282884
0.260301727392765,0.3825848252193941,0.6567998799016569,939775.3090049527,0.09462718504726865,0.2656444033956438,0.27149538302508475,939775.3090049527
0.23410195913130596,0.5464391995027347,0.5722265452837982,1086541.4055051026,0.07330908249826155,0.19952159487261606,0.2156628348015089,1086541.4055051026
0.28267535348061323,0.545777886119171,0.6598327209293133,991204.0567987737,0.11609054495240405,0.19911336331238919,0.2735758556129257,991204.0567987737
0.5144233208672555,0.31104823020399036,0.5871872329097395,1041802.3885755481,0.18009488580033634,0.07486544582922368,0.22522240746814381,1041802.3885755481
0.03640816315049019,0.03640816315049019,0.6219095443348713,936056.1904934455,0.0013761301485021439,0.0013761301485021439,0.24794253001800656,936056.1904934455
0.504697668482738,0.1154627385232071,0.6699693534426218,908656.233640401,0.17433248971466,0.015136641552324939,0.2805670675545501,908656.233640401
0.0470308940211338,0.3498387013007411,0.695594200270205,863517.3728767672,0.002322481871712854,0.20428866106530777,0.2984948169208431,863517.3728767672
0.20653113367442463,0.027534611381737184,0.5613980339214524,1141655.010594065,0.03561635431625269,0.0007379712234756162,0.20883239762125635,1141655.010594065
2.5166751767215767,0.2618533165724629,0.6365587283710441,968466.9994007446,2.120774510387637,0.09601315348523205,0.2577452032767964,968466.9994007446
0.29973711721338026,0.2734163049637781,0.6031808490595315,1033174.6099224847,0.13478366613395876,0.10681321665083829,0.23559634345433447,1033174.6099224847
0.775042288299729,0.0385919497146566,0.5563499382264772,1016203.9964000891,0.35628772858331775,0.0014344931383582242,0.20567398977567608,1016203.9964000891
0.2523888578368658,0.48190488965170497,0.695768670357173,932426.9085648069,0.08778165065638832,0.16108982946653055,0.2986181107865124,932426.9085648069
0.17307474895163705,0.3737713633688267,0.6009317045164403,1126993.4693205198,0.025675841165689696,0.24755474413358244,0.23412796999328783,1126993.4693205198
0.3984799073362174,0.4919575244208538,0.5710399402433981,1061891.1673071133,0.301840572971756,0.7624320295642963,0.21491068108147576,1061891.1673071133
0.2691826774058125,0.4746926040100963,0.5769650802504603,1150251.8813853383,0.10276063309104295,0.1569774956542545,0.2186753773511372,1150251.8813853383
0.7833751665524485,0.028687722956163352,0.6591568731256908,939409.897267704,0.36253415244236437,0.0008474771937539647,0.2731117849677748,939409.897267704
0.06865061167515846,0.3702554637277278,0.6272800585499214,995741.4750143301,0.005067191378068446,0.10194243112608752,0.2515215778201069,995741.4750143301
0.1791884376274827,0.8652638067219448,0.6464262559725688,1106490.0473569715,0.027388350825928123,0.42566597431653325,0.2644189155490485,1106490.0473569715
0.7723606420425783,0.030965806109073138,0.6338286071539776,943631.5814516686,0.3542847722045916,0.0009302903183797311,0.2559087425341547,943631.5814516686
0.06336569232299644,0.16170897871818254,0.6715230056467386,905667.7190901075,0.004291766536443873,0.022619872043937454,0.2816437108478288,905667.7190901075
